issue_id,magazine,year,month,issue_label,n_sold,sold_min_jpy,sold_median_jpy,sold_max_jpy,n_asking_instock,asking_instock_median_jpy,n_asking_soldout,asking_soldout_median_jpy,n_set,set_unit_median_jpy,n_extra,extra_median_jpy,estimated_value_jpy,basis,confidence,sources,notes
world_boxing-1998-10,ワールドボクシング,1998,10,1998年10月号,1,770,770,770,0,,0,,0,,0,,770,落札中央値(少数),中,yahoo_closed,
world_boxing-1998-11,ワールドボクシング,1998,11,1998年11月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
world_boxing-1998-12,ワールドボクシング,1998,12,1998年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-01,ワールドボクシング,1999,1,1999年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-02,ワールドボクシング,1999,2,1999年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-03,ワールドボクシング,1999,3,1999年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-04,ワールドボクシング,1999,4,1999年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-05,ワールドボクシング,1999,5,1999年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-06,ワールドボクシング,1999,6,1999年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-07,ワールドボクシング,1999,7,1999年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-08,ワールドボクシング,1999,8,1999年8月号,1,300,300,300,0,,0,,0,,0,,300,落札中央値(少数),中,yahoo_closed,
world_boxing-1999-09,ワールドボクシング,1999,9,1999年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-10,ワールドボクシング,1999,10,1999年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1999-11,ワールドボクシング,1999,11,1999年11月号,0,,,,0,,0,,0,,1,900,100,誌別ベースライン,参考値,yahoo_closed,
world_boxing-1999-12,ワールドボクシング,1999,12,1999年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-01,ワールドボクシング,2000,1,2000年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-02,ワールドボクシング,2000,2,2000年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-03,ワールドボクシング,2000,3,2000年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-04,ワールドボクシング,2000,4,2000年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-05,ワールドボクシング,2000,5,2000年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-06,ワールドボクシング,2000,6,2000年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-07,ワールドボクシング,2000,7,2000年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-08,ワールドボクシング,2000,8,2000年8月号,0,,,,0,,0,,0,,1,950,100,誌別ベースライン,参考値,yahoo_closed,
world_boxing-2000-09,ワールドボクシング,2000,9,2000年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-10,ワールドボクシング,2000,10,2000年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-11,ワールドボクシング,2000,11,2000年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2000-12,ワールドボクシング,2000,12,2000年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-01,ワールドボクシング,2001,1,2001年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-02,ワールドボクシング,2001,2,2001年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-03,ワールドボクシング,2001,3,2001年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-04,ワールドボクシング,2001,4,2001年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-05,ワールドボクシング,2001,5,2001年5月号,0,,,,0,,0,,0,,1,1100,100,誌別ベースライン,参考値,yahoo_closed,
world_boxing-2001-06,ワールドボクシング,2001,6,2001年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-07,ワールドボクシング,2001,7,2001年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-08,ワールドボクシング,2001,8,2001年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-09,ワールドボクシング,2001,9,2001年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-10,ワールドボクシング,2001,10,2001年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-11,ワールドボクシング,2001,11,2001年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-2001-12,ワールドボクシング,2001,12,2001年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-01,ボクシング・マガジン,1995,1,1995年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-02,ボクシング・マガジン,1995,2,1995年2月号,1,550,550,550,0,,0,,0,,0,,550,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1995-03,ボクシング・マガジン,1995,3,1995年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-04,ボクシング・マガジン,1995,4,1995年4月号,1,226,226,226,0,,0,,0,,0,,226,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1995-05,ボクシング・マガジン,1995,5,1995年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-06,ボクシング・マガジン,1995,6,1995年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-07,ボクシング・マガジン,1995,7,1995年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-08,ボクシング・マガジン,1995,8,1995年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1995-09,ボクシング・マガジン,1995,9,1995年9月号,1,199,199,199,0,,0,,0,,0,,199,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1995-10,ボクシング・マガジン,1995,10,1995年10月号,1,88,88,88,0,,0,,0,,0,,88,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1995-11,ボクシング・マガジン,1995,11,1995年11月号,1,510,510,510,0,,0,,0,,0,,510,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1995-12,ボクシング・マガジン,1995,12,1995年12月号,1,510,510,510,0,,0,,0,,0,,510,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1996-01,ボクシング・マガジン,1996,1,1996年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-02,ボクシング・マガジン,1996,2,1996年2月号,1,300,300,300,0,,0,,0,,0,,300,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1996-03,ボクシング・マガジン,1996,3,1996年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-04,ボクシング・マガジン,1996,4,1996年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-05,ボクシング・マガジン,1996,5,1996年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-06,ボクシング・マガジン,1996,6,1996年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-07,ボクシング・マガジン,1996,7,1996年7月号,1,300,300,300,0,,0,,0,,0,,300,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1996-08,ボクシング・マガジン,1996,8,1996年8月号,1,103,103,103,0,,0,,0,,0,,103,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1996-09,ボクシング・マガジン,1996,9,1996年9月号,1,89,89,89,0,,0,,0,,0,,89,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1996-10,ボクシング・マガジン,1996,10,1996年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-11,ボクシング・マガジン,1996,11,1996年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1996-12,ボクシング・マガジン,1996,12,1996年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-01,ボクシング・マガジン,1997,1,1997年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-02,ボクシング・マガジン,1997,2,1997年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-03,ボクシング・マガジン,1997,3,1997年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-04,ボクシング・マガジン,1997,4,1997年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-05,ボクシング・マガジン,1997,5,1997年5月号,0,,,,0,,0,,1,100,0,,100,まとめ売り1冊単価,低,yahoo_closed,
boxing_magazine-1997-06,ボクシング・マガジン,1997,6,1997年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-07,ボクシング・マガジン,1997,7,1997年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-08,ボクシング・マガジン,1997,8,1997年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-09,ボクシング・マガジン,1997,9,1997年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-10,ボクシング・マガジン,1997,10,1997年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-11,ボクシング・マガジン,1997,11,1997年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1997-12,ボクシング・マガジン,1997,12,1997年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-01,ボクシング・マガジン,1998,1,1998年1月号,0,,,,0,,0,,1,114,0,,114,まとめ売り1冊単価,低,yahoo_closed,
boxing_magazine-1998-02,ボクシング・マガジン,1998,2,1998年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-03,ボクシング・マガジン,1998,3,1998年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-04,ボクシング・マガジン,1998,4,1998年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-05,ボクシング・マガジン,1998,5,1998年5月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1998-06,ボクシング・マガジン,1998,6,1998年6月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1998-07,ボクシング・マガジン,1998,7,1998年7月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1998-08,ボクシング・マガジン,1998,8,1998年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-09,ボクシング・マガジン,1998,9,1998年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1998-10,ボクシング・マガジン,1998,10,1998年10月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1998-11,ボクシング・マガジン,1998,11,1998年11月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-1998-12,ボクシング・マガジン,1998,12,1998年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-01,ボクシング・マガジン,1999,1,1999年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-02,ボクシング・マガジン,1999,2,1999年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-03,ボクシング・マガジン,1999,3,1999年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-04,ボクシング・マガジン,1999,4,1999年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-05,ボクシング・マガジン,1999,5,1999年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-06,ボクシング・マガジン,1999,6,1999年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-07,ボクシング・マガジン,1999,7,1999年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-08,ボクシング・マガジン,1999,8,1999年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-09,ボクシング・マガジン,1999,9,1999年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-10,ボクシング・マガジン,1999,10,1999年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-11,ボクシング・マガジン,1999,11,1999年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-1999-12,ボクシング・マガジン,1999,12,1999年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-01,ボクシング・マガジン,2000,1,2000年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-02,ボクシング・マガジン,2000,2,2000年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-03,ボクシング・マガジン,2000,3,2000年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-04,ボクシング・マガジン,2000,4,2000年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-05,ボクシング・マガジン,2000,5,2000年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-06,ボクシング・マガジン,2000,6,2000年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-07,ボクシング・マガジン,2000,7,2000年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-08,ボクシング・マガジン,2000,8,2000年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-09,ボクシング・マガジン,2000,9,2000年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-10,ボクシング・マガジン,2000,10,2000年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-11,ボクシング・マガジン,2000,11,2000年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2000-12,ボクシング・マガジン,2000,12,2000年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-01,ボクシング・マガジン,2001,1,2001年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-02,ボクシング・マガジン,2001,2,2001年2月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
boxing_magazine-2001-03,ボクシング・マガジン,2001,3,2001年3月号,0,,,,0,,0,,0,,1,298,100,誌別ベースライン,参考値,yahoo_closed,
boxing_magazine-2001-04,ボクシング・マガジン,2001,4,2001年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-05,ボクシング・マガジン,2001,5,2001年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-06,ボクシング・マガジン,2001,6,2001年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-07,ボクシング・マガジン,2001,7,2001年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-08,ボクシング・マガジン,2001,8,2001年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-09,ボクシング・マガジン,2001,9,2001年9月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-10,ボクシング・マガジン,2001,10,2001年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-11,ボクシング・マガジン,2001,11,2001年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
boxing_magazine-2001-12,ボクシング・マガジン,2001,12,2001年12月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
