issue_id,magazine,year,month,issue_label,source,listing_type,observed_on,title,condition,stock,price_jpy,is_set,set_size,unit_price_jpy,is_extra,matched_issue,url
boxing_magazine-2000-08,ボクシング・マガジン,2000,8,2000年8月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/8,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE267?tenpo_cd=
boxing_magazine-1997-03,ボクシング・マガジン,1997,3,1997年3月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/3,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE247?tenpo_cd=
boxing_magazine-1997-07,ボクシング・マガジン,1997,7,1997年7月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/7,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE251?tenpo_cd=
boxing_magazine-1997-08,ボクシング・マガジン,1997,8,1997年8月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/8,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE252?tenpo_cd=
boxing_magazine-2000-12,ボクシング・マガジン,2000,12,2000年12月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/12,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE271?tenpo_cd=
boxing_magazine-1997-04,ボクシング・マガジン,1997,4,1997年4月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/4,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE248?tenpo_cd=
boxing_magazine-2000-06,ボクシング・マガジン,2000,6,2000年6月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/6,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE265?tenpo_cd=
boxing_magazine-2000-10,ボクシング・マガジン,2000,10,2000年10月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/10,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE269?tenpo_cd=
boxing_magazine-1996-06,ボクシング・マガジン,1996,6,1996年6月号,surugaya,asking,2026-09-04,ボクシングマガジン 1996/6,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE277?tenpo_cd=
boxing_magazine-1997-01,ボクシング・マガジン,1997,1,1997年1月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/1,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE245?tenpo_cd=
boxing_magazine-1997-09,ボクシング・マガジン,1997,9,1997年9月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/9,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE253?tenpo_cd=
boxing_magazine-1999-12,ボクシング・マガジン,1999,12,1999年12月号,surugaya,asking,2026-09-04,ボクシングマガジン 1999/12,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE259?tenpo_cd=
boxing_magazine-1997-10,ボクシング・マガジン,1997,10,1997年10月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/10,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE254?tenpo_cd=
