issue_id,magazine,year,month,issue_label,source,listing_type,observed_on,title,condition,stock,price_jpy,is_set,set_size,unit_price_jpy,is_extra,list_price_jpy,matched_issue,url
boxing_magazine-1998-07,ボクシング・マガジン,1998,7,1998年7月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン 1998年7月号 辰吉丈一郎 坂本博之 リン ベースボールマガジン社,,,100,0,1,100,0,,1,https://auctions.yahoo.co.jp/jp/auction/s1237828870
boxing_magazine-2001-03,ボクシング・マガジン,2001,3,2001年3月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン2001年3月臨時増刊号/永久保存版特集:偉大なるボクシング/畑山隆則 VS リック吉村 タイトルマッチ解説/日本ライト級史,,,298,0,1,298,1,,1,https://auctions.yahoo.co.jp/jp/auction/x1208832807
boxing_magazine-1995-09,ボクシング・マガジン,1995,9,1995年9月号,yahoo_closed,sold,2026-09-04,Db-035/ボクシングマガジン 1995年9月号 WBC世界バンダム級タイトルマッチ 井岡が秋にWBAフライ級王座挑戦/L3/71113,,,199,0,1,199,0,,1,https://auctions.yahoo.co.jp/jp/auction/1207628734
boxing_magazine-1995-10,ボクシング・マガジン,1995,10,1995年10月号,yahoo_closed,sold,2026-09-04,h-320※0 ボクシングマガジン1995年10月号 辰吉、ラスベガスで復帰！/タイソン89秒の復活劇 ベースボール・マガジン社,,,88,0,1,88,0,,1,https://auctions.yahoo.co.jp/jp/auction/x1080221214
boxing_magazine-1995-04,ボクシング・マガジン,1995,4,1995年4月号,yahoo_closed,sold,2026-09-04,h-319※0 ボクシングマガジン1995年4月号 薬師寺が必勝宣言/田村、奮闘及ばず12回KO負け ベースボール・マガジン社,,,226,0,1,226,0,,1,https://auctions.yahoo.co.jp/jp/auction/u1080231908
boxing_magazine-1997-05,ボクシング・マガジン,1997,5,1997年5月号,yahoo_closed,sold,2026-09-04,ボクシング・マガジン 1997年 5月号 1998年 4月号 8月号 10月号 12月号 1999年 1月号 5月号 7冊セット売り 250611,,,700,1,7,100,0,,1,https://auctions.yahoo.co.jp/jp/auction/s1118208509
boxing_magazine-1995-11,ボクシング・マガジン,1995,11,1995年11月号,yahoo_closed,sold,2026-09-04,T278 ボクシングマガジン 1995年11月号 辰吉丈一郎,,,510,0,1,510,0,,1,https://auctions.yahoo.co.jp/jp/auction/1076710245
boxing_magazine-1995-12,ボクシング・マガジン,1995,12,1995年12月号,yahoo_closed,sold,2026-09-04,T278 ボクシングマガジン 1995年12月号 川島郭志,,,510,0,1,510,0,,1,https://auctions.yahoo.co.jp/jp/auction/s1076714034
boxing_magazine-1996-02,ボクシング・マガジン,1996,2,1996年2月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン 1996年2月号 ホルヘ・カストロVS竹原慎二 塩濱崇 川島敦志 辰吉丈一郎,,,300,0,1,300,0,,1,https://auctions.yahoo.co.jp/jp/auction/l1229118843
boxing_magazine-1996-07,ボクシング・マガジン,1996,7,1996年7月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン 1996年7月号 山口圭司VSムリージョ 香川照之＆川島敦志 鬼塚勝也,,,300,0,1,300,0,,1,https://auctions.yahoo.co.jp/jp/auction/r1228985267
boxing_magazine-1996-08,ボクシング・マガジン,1996,8,1996年8月号,yahoo_closed,sold,2026-09-04,h-322※0 ボクシングマガジン1996年8月号 竹原、初防衛ならず ベースボール・マガジン社,,,103,0,1,103,0,,1,https://auctions.yahoo.co.jp/jp/auction/n1080217067
boxing_magazine-1996-09,ボクシング・マガジン,1996,9,1996年9月号,yahoo_closed,sold,2026-09-04,h-321※0 ボクシングマガジン1996年9月号 展望 勇利VS渡久地 ベースボール・マガジン社,,,89,0,1,89,0,,1,https://auctions.yahoo.co.jp/jp/auction/q1080229163
boxing_magazine-1998-01,ボクシング・マガジン,1998,1,1998年1月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン まとめ 7冊セット 1998年1月~7月 250620,,,800,1,7,114,0,,1,https://auctions.yahoo.co.jp/jp/auction/l1189511977
boxing_magazine-1995-02,ボクシング・マガジン,1995,2,1995年2月号,yahoo_closed,sold,2026-09-04,ボクシングマガジン 1995年2月 薬師寺 辰吉,,,550,0,1,550,0,,1,https://auctions.yahoo.co.jp/jp/auction/b1106594855
